EmployeeNumber,Department,JobRole,MonthlyIncome,OverTime,YearsAtCompany,JobSatisfaction,WorkLifeBalance,Churn_Probability,Risk_Tier,Replacement_Cost,Attrition
1,Sales,Sales Executive,5993,Yes,6,4,1,0.651646142361841, High Risk,35958,Yes
2,Research & Development,Research Scientist,5130,No,10,2,3,0.0719356874573887, Low Risk,30780,No
4,Research & Development,Laboratory Technician,2090,Yes,0,3,3,0.34802800390316174, Medium Risk,12540,Yes
5,Research & Development,Research Scientist,2909,Yes,8,3,3,0.360883482817852, Medium Risk,17454,No
7,Research & Development,Laboratory Technician,3468,No,2,2,3,0.21255006555220476, Low Risk,20808,No
8,Research & Development,Laboratory Technician,3068,No,7,4,2,0.07589961823222084, Low Risk,18408,No
10,Research & Development,Laboratory Technician,2670,Yes,1,1,2,0.1248935559421656, Low Risk,16020,No
11,Research & Development,Laboratory Technician,2693,No,1,3,3,0.24532908937320688, Low Risk,16158,No
12,Research & Development,Manufacturing Director,9526,No,9,3,3,0.09451284545504578, Low Risk,57156,No
13,Research & Development,Healthcare Representative,5237,No,7,3,2,0.04037286433553865, Low Risk,31422,No
14,Research & Development,Laboratory Technician,2426,No,5,2,3,0.16771212906327534, Low Risk,14556,No
15,Research & Development,Laboratory Technician,4193,Yes,9,3,3,0.1704807049898389, Low Risk,25158,No
16,Research & Development,Research Scientist,2911,No,5,3,2,0.10198708696317359, Low Risk,17466,No
18,Research & Development,Laboratory Technician,2661,No,2,4,3,0.10207256129945641, Low Risk,15966,No
19,Research & Development,Laboratory Technician,2028,Yes,4,3,3,0.8136233651180195, High Risk,12168,Yes
20,Research & Development,Manufacturing Director,9980,No,10,1,3,0.08098221859439846, Low Risk,59880,No
21,Research & Development,Research Scientist,3298,Yes,6,2,2,0.22835445307078012, Low Risk,19788,No
22,Research & Development,Laboratory Technician,2935,Yes,1,4,2,0.3703339953594537, Medium Risk,17610,No
23,Sales,Manager,15427,No,25,4,3,0.06856344221199205, Low Risk,92562,No
24,Research & Development,Research Scientist,3944,Yes,3,4,3,0.18663485967719107, Low Risk,23664,No
26,Research & Development,Manufacturing Director,4011,No,4,3,2,0.0739167310783399, Low Risk,24066,No
27,Sales,Sales Representative,3407,No,5,1,3,0.6105347964114045, High Risk,20442,Yes
28,Research & Development,Research Director,11994,No,12,2,3,0.06813925464249468, Low Risk,71964,No
30,Research & Development,Research Scientist,1232,No,0,4,3,0.30717304473278545, Medium Risk,7392,No
31,Research & Development,Research Scientist,2960,No,4,1,3,0.2225356144825654, Low Risk,17760,Yes
32,Research & Development,Manager,19094,No,14,3,2,0.03177593428815889, Low Risk,114564,No
33,Research & Development,Research Scientist,3919,Yes,10,1,3,0.6983136020744632, High Risk,23514,Yes
35,Sales,Sales Executive,6825,No,9,2,3,0.12894092688395564, Low Risk,40950,No
36,Research & Development,Healthcare Representative,10248,No,22,4,3,0.07146169821318064, Low Risk,61488,No
38,Sales,Manager,18947,No,2,1,2,0.07908925614570095, Low Risk,113682,No
39,Research & Development,Laboratory Technician,2496,No,1,4,3,0.1641768950805173, Low Risk,14976,No
40,Research & Development,Healthcare Representative,6465,Yes,4,4,4,0.08419011215203659, Low Risk,38790,No
41,Research & Development,Laboratory Technician,2206,No,10,3,3,0.15307423209646942, Low Risk,13236,No
42,Sales,Sales Representative,2086,No,1,4,4,0.6773557995959689, High Risk,12516,Yes
45,Research & Development,Research Scientist,2293,Yes,2,4,2,0.725039549509952, High Risk,13758,Yes
46,Research & Development,Research Scientist,2645,No,5,3,2,0.04129129444627158, Low Risk,15870,No
47,Sales,Sales Representative,2683,Yes,3,3,3,0.2823998561047094, Low Risk,16098,Yes
49,Sales,Sales Representative,2014,No,2,4,3,0.15876126486349187, Low Risk,12084,No
51,Research & Development,Research Scientist,3419,Yes,1,1,4,0.22113584703103673, Low Risk,20514,No
52,Sales,Sales Executive,5376,No,5,1,3,0.05582859914655161, Low Risk,32256,No
53,Research & Development,Laboratory Technician,1951,No,1,4,3,0.145387176859949, Low Risk,11706,No
54,Research & Development,Laboratory Technician,2341,No,1,1,3,0.3737948398977426, Medium Risk,14046,No
55,Research & Development,Laboratory Technician,2293,No,1,3,2,0.744251866391644, High Risk,13758,Yes
56,Sales,Sales Executive,8726,No,9,3,3,0.10149031739820051, Low Risk,52356,No
57,Research & Development,Laboratory Technician,4011,No,12,4,3,0.0950649293943823, Low Risk,24066,No
58,Research & Development,Research Director,19545,No,22,3,3,0.09747149317498127, Low Risk,117270,Yes
60,Sales,Sales Executive,4568,No,9,3,3,0.1572680034764565, Low Risk,27408,No
61,Research & Development,Research Scientist,3022,No,1,2,3,0.2406000655545305, Low Risk,18132,No
62,Sales,Sales Executive,5772,Yes,9,4,3,0.19134073230687765, Low Risk,34632,No
63,Research & Development,Laboratory Technician,2269,No,1,4,3,0.1759824941975195, Low Risk,13614,No
64,Research & Development,Laboratory Technician,5381,Yes,1,3,3,0.6728037056617272, High Risk,32286,Yes
65,Research & Development,Laboratory Technician,3441,Yes,2,3,2,0.7729590370144618, High Risk,20646,Yes
68,Sales,Sales Executive,5454,Yes,4,1,2,0.08069722129609219, Low Risk,32724,No
70,Research & Development,Healthcare Representative,9884,Yes,4,1,3,0.1442216850536098, Low Risk,59304,No
72,Sales,Sales Executive,4157,Yes,2,4,2,0.20531252199528793, Low Risk,24942,No
73,Research & Development,Research Director,13458,Yes,15,4,3,0.09728235733779429, Low Risk,80748,No
74,Sales,Sales Executive,9069,No,9,1,2,0.09608490237266576, Low Risk,54414,No
75,Research & Development,Laboratory Technician,4014,Yes,2,1,3,0.18060625900151192, Low Risk,24084,No
